run_name,epoch,lr,dropout,weight_decay,train_acc,val_acc,overfitting_gap,use_focal_loss,timestamp,subdir,lr_extracted,dropout_extracted,weight_decay_extracted,focal_extracted
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,11,5e-06,0.4,0.0005,57.44,61.99,-4.55,1,2025-08-12 17:55:44,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd5e-4,6,5e-06,0.3,0.0005,60.99,63.74,-2.75,0,2025-08-12 17:55:45,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,6,5e-06,0.3,0.0005,57.57,59.5,-1.94,1,2025-08-12 17:55:45,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,11,5e-06,0.3,0.002,57.92,63.14,-5.21,1,2025-08-12 17:55:46,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3,6,5e-06,0.3,0.001,60.43,63.34,-2.91,0,2025-08-12 17:55:50,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,12,5e-06,0.4,0.0005,60.84,64.61,-3.77,0,2025-08-12 17:57:37,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,12,5e-06,0.3,0.002,61.43,64.91,-3.48,0,2025-08-12 17:57:42,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,12,5e-06,0.4,0.0005,56.88,61.62,-4.74,1,2025-08-12 17:57:45,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,12,5e-06,0.3,0.002,57.76,63.42,-5.65,1,2025-08-12 17:57:47,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,7,5e-06,0.3,0.001,57.02,60.82,-3.8,1,2025-08-12 17:59:04,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd5e-4,7,5e-06,0.3,0.0005,60.83,64.81,-3.99,0,2025-08-12 17:59:24,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,7,5e-06,0.3,0.0005,57.38,62.09,-4.7,1,2025-08-12 17:59:24,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,7,5e-06,0.3,0.001,60.64,63.62,-2.98,0,2025-08-12 17:59:32,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,13,5e-06,0.4,0.0005,61.62,64.95,-3.33,0,2025-08-12 17:59:38,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,13,5e-06,0.3,0.002,62.14,65.66,-3.52,0,2025-08-12 17:59:44,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,13,5e-06,0.4,0.0005,57.38,62.07,-4.68,1,2025-08-12 17:59:44,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,13,5e-06,0.3,0.002,58.32,64.1,-5.79,1,2025-08-12 17:59:48,.,5e-06,0.3,0.002,True
lr5e-6_dr0.4_wd5e-4,14,5e-06,0.4,0.0005,61.03,65.15,-4.13,0,2025-08-12 18:01:39,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,14,5e-06,0.4,0.0005,57.37,62.07,-4.7,1,2025-08-12 18:01:45,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,14,5e-06,0.3,0.002,62.18,65.25,-3.08,0,2025-08-12 18:01:45,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,14,5e-06,0.3,0.002,58.92,63.86,-4.94,1,2025-08-12 18:01:49,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,8,5e-06,0.3,0.001,57.57,59.71,-2.13,1,2025-08-12 18:02:42,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd5e-4,8,5e-06,0.3,0.0005,61.75,64.59,-2.83,0,2025-08-12 18:03:05,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,8,5e-06,0.3,0.0005,57.11,61.84,-4.74,1,2025-08-12 18:03:06,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,8,5e-06,0.3,0.001,60.66,63.74,-3.08,0,2025-08-12 18:03:13,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,15,5e-06,0.4,0.0005,61.83,65.23,-3.4,0,2025-08-12 18:03:37,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,15,5e-06,0.3,0.002,62.04,65.6,-3.56,0,2025-08-12 18:03:42,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,15,5e-06,0.4,0.0005,56.9,61.4,-4.5,1,2025-08-12 18:03:43,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,15,5e-06,0.3,0.002,58.81,64.23,-5.42,1,2025-08-12 18:03:47,.,5e-06,0.3,0.002,True
lr5e-6_dr0.4_wd5e-4,16,5e-06,0.4,0.0005,61.41,65.19,-3.78,0,2025-08-12 18:05:32,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,16,5e-06,0.4,0.0005,57.16,61.84,-4.68,1,2025-08-12 18:05:38,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3,16,5e-06,0.3,0.002,61.72,65.8,-4.08,0,2025-08-12 18:05:38,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,16,5e-06,0.3,0.002,58.46,63.7,-5.24,1,2025-08-12 18:05:43,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,9,5e-06,0.3,0.001,57.4,63.18,-5.78,1,2025-08-12 18:06:19,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd5e-4,9,5e-06,0.3,0.0005,61.09,64.55,-3.46,0,2025-08-12 18:06:45,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,9,5e-06,0.3,0.0005,57.33,63.5,-6.16,1,2025-08-12 18:06:47,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,9,5e-06,0.3,0.001,60.66,65.15,-4.49,0,2025-08-12 18:06:54,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,17,5e-06,0.4,0.0005,61.97,65.09,-3.13,0,2025-08-12 18:07:32,.,5e-06,0.4,0.0005,False
