,id_,pre_id,post_id,dist_to_post_syn_soma,dist_to_pre_syn_soma,size,center_position,synapses_depth_in_post,synapses_depth_in_pre,compartment_in_post_syn_soma,compartment_in_pre_syn_soma,pre_clf_type,pre_cell_type,pre_m_type,post_clf_type,post_cell_type,post_mtype_type
11217,453796375,864691135491226207,864691135013325206,65.64216052246094,151.7205110206604,4556,[354708. 121690.  18288.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L3a
11218,49695607,864691135841926627,864691135876386643,97.94480963134764,190.53642286682128,3944,[116354. 107898.  24835.],-1.0,-1.0,3.0,3.0,E,23P,L2c,E,23P,L2a
11219,306731971,864691135570564998,864691135114308761,182.56585150146483,199.7188696899414,7184,[263588. 164086.  20177.],-1.0,-1.0,3.0,2.0,I,MC,PTC,I,BC,PTC
11220,414693128,864691136032536507,864691136194197224,89.28375354003906,332.7635587615967,6112,[328622. 184314.  22437.],-1.0,-1.0,3.0,2.0,E,4P,L4b,I,MC,DTC
11221,360060138,864691136085178476,864691135415989178,73.2594015197754,527.2385374145508,2732,[298088. 212303.  24256.],-1.0,-1.0,3.0,2.0,E,23P,L3a,E,5P-ET,L5ET
11222,425784560,864691136389274231,864691135859528296,87.53412561035157,198.17972299194332,14276,[335818. 182766.  17468.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-ET,L5ET
11223,60053209,864691135777999200,864691136952277215,131.01006457519532,224.92600778198243,5628,[120524. 189360.  17643.],-1.0,-1.0,3.0,2.0,E,5P-IT,L5b,E,5P-ET,L5ET
11224,65760337,864691135491849447,864691135386362241,144.2125094604492,126.41005279541017,428,[30695.    44839.5     610.575],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,5P-IT,L4c
11225,247936007,864691136144542516,864691136116587940,73.61966345214844,276.48405181884766,9220,[230718. 181632.  26566.],-1.0,-1.0,3.0,2.0,E,4P,L4c,E,5P-IT,L5a
11226,318844120,864691136032676027,864691136051753971,101.97331408691406,322.59977671813965,14352,[270660. 130596.  18021.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L3b
11227,348183281,864691136286541763,864691135307341638,153.9017410888672,1020.6194314880372,28364,[287924. 255068.  24381.],-1.0,-1.0,3.0,2.0,E,6P-CT,L6tall-c,E,6P-IT,L6short-b
11228,91696871,864691135101061664,864691135118586589,72.9832036743164,165.03466534423828,6432,[136130. 206840.  22785.],-1.0,-1.0,3.0,2.0,I,BPC,ITC,E,5P-ET,L5ET
11229,213159139,864691135566059799,864691136194679372,79.81363977050782,321.6850634727478,1176,[209546. 165740.  26657.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4a
11230,331049895,864691135294099212,864691135417069754,9.3368125,199.95637872314447,3244,[70227.  34793.5   486.9],-1.0,-1.0,3.0,3.0,E,23P,L2c,I,BC,PTC
11231,73838682,864691135429370928,864691135590457867,83.35319604492187,269.7570243225098,2000,[128068. 170356.  27405.],-1.0,-1.0,3.0,3.0,E,4P,L4b,I,MC,DTC
11232,323120486,864691135682723220,864691135738572401,119.14151208496094,387.67520763397215,3612,[273889. 200335.  19477.],-1.0,-1.0,3.0,2.0,E,4P,L4b,E,5P-IT,L5ET
11233,145192233,864691135349839831,864691135801170018,109.23679278564452,281.6429524383545,18608,[168484. 132472.  17810.],-1.0,-1.0,3.0,2.0,E,23P,L3a,E,23P,L3a
